prompt,completion
earth,"土 earth
★★★★★
3 strokes
PK
Onyomi
DO	
DON'T pollute the earth.

Mnemonic
Kunyomi
つち	the ground, the soil
★★★★☆
Jukugo
土曜日どようび	
Saturday ★★★★★ KUN ON
土 (earth) + 曜日 (day of week) = 土曜日 (Saturday)

お土産おみやげ	
souvenir ★★★☆☆ FP1/2 KANA
土 (earth) + 産 (childbirth, production of things) = お土産 (souvenir )

Lookalikes
Meaning	Hint	Radical
土	earth	BOTTOM LINE LONGER	
士	samurai radical	TOP LINE LONGER	
Earth (土 ) basically represents across planted on the ground. The bottom stroke is longer, because it is the horizon, extending a million miles in each direction.

Whereas, in Samurai,(士) the top stroke is longer, because he's angry and has both arms ethe top stroke is longer, because he's angry and has both arms extended to cut you with his swords, because you rose up against the unjust feudal system. Or whatever. I just am not feeling those guys.

Used In
里 埋 坊 吐 塾 走 墓 王 境 煙 域 堅 圧 坂 城 遠 園 舎 塗 寺 堕 在 座 塊 型 場 至 壁 均 塩 猿 社 地 増 堂 周 書 壊 基 塔 堪  士   赤
Synonyms
place
場所    所    場    地    地域    土地    所有地   "
village,"里 village
田 (rice field) + 土 (earth)
★★☆☆☆
7 strokes
PNSOLO
Onyomi
RI	
In the village , we keep it REAL.

Mnemonic
We built our village on the earth right next to the rice field . Short commute time, ""If you lived here you'd be home right now,"" and etc.

Kunyomi
さと	refers to small villages in general, as in ""Country life is more peaceful than city life."" （BOOBOO: if you want to talk about a particular village, generally you'd say 村　（むら）） 里 also has the nuance of being the village where you are from (used when nostalgic). Also,　you use　里 when a wife leaves her husband - ""She went back to the sato.""　
★★☆☆☆
Lookalikes
Meaning	Hint	Radical
早	early	SUN	日
古	old	NO SUN	
里	village	RICE FIELD	田
The SUN comes up early, but if there is NO SUN, the day is old.
The village is next to a RICE FIELD.

Used In
量 童 黒 埋 黙 理 裏 野
Synonyms
small town or village
村    里   "
quantity,"量 quantity
旦 (danna (husband)) + 里 (village)
★★★☆☆
12 strokes
DUPE
Onyomi
RYOU	
as in,'We gotta REORDER the merchandise, the present quantity is insufficient. '

Mnemonic
The quantity of husbands in the lesbian village is quite small.

Kunyomi
はか＊る	to measure an amount - used mostly about weight, but also quantity or volume.
★★★☆☆
りょう	quantity LAZY
★☆☆☆☆
Jukugo
大量たいりょう	
a huge amount ★☆☆☆☆
大 (big) + 量 (quantity) = 大量 (a huge amount)

a huge amount, a big-ass quantity

Synonyms
equality, fairness
公平    平等    等量    同等    均等    等しい   
measure
計る    測る    量る   
systematic, methodical
系統    体系てきに    慎重に考える    思料深い    数量化   
weight
体重    重量   "
black,"黒 black
里 (village) +  (firebottom)
★★★★☆
11 strokes
PN
Onyomi
KOKU	
Mnemonic
After we burn the village in a COKE -freebasing accident, nothing remains but blackened ash.

Kunyomi
くろ*い	black color
★★★★★
Jukugo
黒人こくじん	
Black person ★★★★☆ NEO
黒 (black) + 人 (person) = 黒人 (Black person)

白黒しろくろ	
black-and-white ★☆☆☆☆ KUNKUN
白 (white) + 黒 (black) = 白黒 (black-and-white)
"
kid,"童 kid
立 (stand up) + 里 (village)
★☆☆☆☆
12 strokes
Onyomi
DOU	
Kids say DOH when they miss their cartoons.

Mnemonic
""It takes a village to raise a child"" ...In this case, the village is literally raising the kid above it. Perhaps there is a trampoline. Who knows? Villagers with their crazy customs nowadays.

Kunyomi
わらべ	an archaic, literary/poetic word for child. Usually seen on CDs for childrens' songs: わらべのうた。
★☆☆☆☆
Jukugo
童話どうわ	
a childrens' story or fairy tale ★★☆☆☆
童 (kid) + 話 (conversation) = 童話 (a childrens' story or fairy tale)

童貞どうてい	
male virgin ★★☆☆☆
童 (kid) + 貞 (chastity) = 童貞 (male virgin)

male virgin. BOOBOO: You'd think that female virgin would also use this kanji, but no. A lady with a hymen is a 処女。- 'managed woman.' Oh snapppppz!!!

児童じどう	
children ★☆☆☆☆ NP
児 (baby) + 童 (kid) = 児童 (children)

children - usually this word is found on signs like ""children's room of the library"" or ""child services"" or ""daycare room""

Lookalikes
Meaning	Hint	Radical
童	kid	VILLAGE	里
章	emblem / chapter	EARLY	早
The kid is from the VILLAGE,

so he got his badge EARLY.

(it's the village where they make the badges, I guess. Who knows at this point)

Used In
憧
Synonyms
kid
子供    童    児童    児    小児科   
story, legend
逸話    昔話    物語    童話    伝説    神話    小説    語り    メルヘン"
yearn for,"憧 yearn for
 (leftheart) + 童 (kid)
★★☆☆☆
15 strokes
SOLO
Onyomi
Mnemonic
My heart yearns for my kid.

Kunyomi
あこが＊れる	long for, yearn for (world domination, a soul-mate, revenge) (but usually a soul-mate)
★★☆☆☆
Synonyms
respect
尊敬    拝む    崇拝    憧れ   "
bury,"埋 bury
土 (earth) + 里 (village)
★☆☆☆☆
10 strokes
PN
Onyomi
MAI	
Mnemonic
I bury MY family in the earth of the same village where we were born.

Kunyomi
( を ) う＊める	I bury it.
★★☆☆☆
( が ) う＊もれる	It got buried.
★☆☆☆☆
Jukugo
埋め合わせうめあわせ	
compensate for, ★☆☆☆☆
埋 (bury) + 合 (to suit) = 埋め合わせ (compensate for,)

to compensate for, as in, ""He got a SUV to compensate for having a small cock.""　（used like this: ｘｘｘ産め合わせ　として、ｙｙｙ！）

Lookalikes
Meaning	Hint	Radical
理	reason	king	王
埋	bury	earth	土
The KING is the reason that I'm buried in the EARTH. (I fucked his wizard)

Synonyms
compensate
償う    弁償する    埋め合わせ   "
boy / monk,"坊 boy / monk
土 (earth) + 方 (direction / method / person) Same-ON
★★☆☆☆
7 strokes
BETA
Onyomi
BOU	
That boy can BOWL, he must have God on his side!

Mnemonic
The young priest turned in the direction of the earth to pray.

Kunyomi
( お ) ぼう ( さん )	a casual way to refer to a monk
★★☆☆☆
Jukugo
赤ん坊あかんぼう	
baby ★★☆☆☆
赤 (red) + 坊 (boy / monk) = 赤ん坊 (baby)

寝坊ねぼう する	
sleep late, oversleep ★☆☆☆☆ KUN ON
寝 (go to bed) + 坊 (boy / monk) = 寝坊 (sleep late, oversleep)

坊主ぼうず	
Buddhist priest ★☆☆☆☆ ABU
坊 (boy / monk) + 主 (master/mainly) = 坊主 (Buddhist priest)

kind of a disrespectful word for a Buddhist priest - like calling a catholic Father, ""Hey, Pops!"" . . . but for a young boy whose real name you don't know, it's a totally appropriate nickname. Weeeird.

Lookalikes
Meaning	Hint	Radical
妨	prevent	GIRL	女
訪	formal visit	TALK	言
坊	boy / monk	GROUND	土
放	release	DIRECTOR	
防	ward off	TOWN	
You prevent the GIRL to go,
From visiting and TALKING to her beau.
(because you're jealous)

The boy stands on the GROUND
Until the DIRECTOR releases the hounds.
and then he's warded away from that TOWN.

Synonyms
baby
赤ちゃん    赤ん坊   
buddhist monk
お坊さん    僧    僧侶    坊主   "
puke,"吐 puke
口 (mouth/small box radical) + 土 (earth)
★★☆☆☆
6 strokes
Onyomi
TO	
Mnemonic
Your mouth pukes up half-digested ramen onto the earth and you have to Take Off your pants and wash them.

Kunyomi
は*く	puke (or, emit - as in, ""The flaming building emitted gouts of smoke."")
★★☆☆☆
Jukugo
吐き気はきけ	
nausea ★★★☆☆ FP
吐 (puke) + 気 (mood) = 吐き気 (nausea)

Lookalikes
Meaning	Hint	Radical
叶	dream come true	TEN	十
吐	puke	GROUND	土
If I got TEN wishes, I would wish to puke on the GROUND.(that would be like around #8. the first couple would be world peace or something)"
cram school,"塾 cram school
 (beret) + 口 (mouth/small box radical) + 子 (child) + 丸 (round) + 土 (earth)
★★☆☆☆
14 strokes
SOLOILL PAIR
Onyomi
JUKU	
Mnemonic
All the kids at cram school have to wear berets and open their mouths round so the teachers can cram dirt inside. That's all it's good for - the 'education' is nothing but dirt, useless crap that deprives them of a useful childhood. Fuck The Man!

Kunyomi
じゅく	after-school cram school
★★☆☆☆
Lookalikes
Meaning	Hint	Radical
塾	cram school	EARTH	土
熟	get good at	BURNING	火
LOOKALIKES:
The cram school is built on EARTH, but you get good at BURNING it down."
samurai radical,"士 samurai radical
(samurai radical) 土 (earth)
★★★☆☆
3 strokes
BETAPKSTRONGSUF
The actual kanji for 'samurai' is '侍.'
But in school, all the teachers tell you that 士　means samurai, so what the fuck. So, this is the 'samurai radical'.

It is never used by itself, but it means ""violent or socially respected job.""

Onyomi
SHI	
SHE's harrier than most male samurai. Ironic? Maybe. Sexy, you bet.

Mnemonic
This is basically earth (土), but instead of the bottom stroke being long, the top stroke is long.

You can think of it like this: The bottom stroke of earth (土 ) is longer, because the bottom stroke represents the horizon, extending a million miles in each direction.

Whereas, in Samurai,(士) the top stroke is longer, because he's angry and has both arms extended to cut you with his swords, because you rose up against the unjust feudal system. Or whatever. I just am not feeling those guys.

Jukugo
兵士へいし	
infantryman, low-ranking soldier ★★☆☆☆
兵 (soldier) + 士 (samurai radical) = 兵士 (infantryman, low-ranking soldier)

武士ぶし	
samurai ★★☆☆☆
武 (military) + 士 (samurai radical) = 武士 (samurai)

White kids say 'samurai', but real Japanese usually say ぶし. It can also be used to refer to the whole social class, as in　武士精神 （ぶしせいしん = samruai spirit) or　武士道 （ぶしどう = the honor-code of the samurai)

力士りきし	
Sumo rassler ★★☆☆☆ FP
力 (strong) + 士 (samurai radical) = 力士 (Sumo rassler)

消防士しょうぼうし	
firefighter ★★☆☆☆
消 (erase) + 防 (ward off) + 士 (samurai radical) = 消防士 (firefighter)

Lookalikes
Meaning	Hint	Radical
土	earth	BOTTOM LINE LONGER	
士	samurai radical	TOP LINE LONGER	
Earth (土 ) basically represents across planted on the ground. The bottom stroke is longer, because it is the horizon, extending a million miles in each direction.

Whereas, in Samurai,(士) the top stroke is longer, because he's angry and has both arms ethe top stroke is longer, because he's angry and has both arms extended to cut you with his swords, because you rose up against the unjust feudal system. Or whatever. I just am not feeling those guys.

Used In
鼓 仕 志 吉 売 壮 声 喜
Synonyms
samurai
武士    侍   
soldier
軍人    兵士   "
work,"仕 work
 (personleft) + 士 (samurai radical) Same-ON
★★★★☆
5 strokes
BETA
Onyomi
SHI	
Mnemonic
SHE is a person who works as a samurai.

Jukugo
仕事しごと	
one's job, one's work. ★★★★★ KUN ON
仕 (work) + 事 (action/ incident) = 仕事 (one's job, one's work. )

仕方しかた	
way to do something ★★★★☆
仕 (work) + 方 (direction / method / person) = 仕方 (way to do something)

Most often used in the negative: 'Shikata ga nai.' as in, 'fuck it.'

Lookalikes
Meaning	Hint	Radical
仕	work	PERSON	人
社	company	NECROPHILIAC	ネ
The PERSON works,

but the company makes porn for NECROPHILIAC jerks.

Synonyms
get a job
就職する    仕事に就く   
job
仕事    職業    稼業   
punish
お仕置き    罰する   
revenge
仕返し    復讐   
treatment
扱う    取り扱う    仕打ち   
way to do
方法    仕方   "
"intention, volition","志 intention, volition
士 (samurai radical) Same-ON +  (bottomheart)
★★☆☆☆
7 strokes
PN
Onyomi
SHI	
Mnemonic
SHE's got the intention to win the heart of a samurai. (FYI she watches too much anime)

Kunyomi
こころざ*し	an ambition or intention
★☆☆☆☆
Jukugo
意志いし	
will or volition ★★★☆☆
意 (meaning) + 志 (intention, volition) = 意志 (will or volition)

will or volition (as in, willpower, against his will, etc.)

闘志とうし	
fightin' spirit ☆☆☆☆☆
闘 (struggle) + 志 (intention, volition) = 闘志 (fightin' spirit)

fightin' spirit, pluck, moxie, NUTZ

Lookalikes
Meaning	Hint	Radical
恵	do a favor	TNT plunger	
恩	kindness	ORIGINATES	因
志	intention, volition	SAMURAI	士
You do a favor to Wile E. Coyote by giving him a TNT PLUNGER,
But kindness ORIGINATES in the heart.
She has the intention of becoming a SAMURAI.

Used In
誌
Synonyms
guts
闘志    根性    意地   
wish
希望    意思    願い    野心    望み    志す  "
good omen,"吉 good omen
士 (samurai radical) + 口 (mouth/small box radical)
★★☆☆☆
6 strokes
PN
Onyomi
KITSU	
Mnemonic
It's considered good omen if a samurai kisses a FOX (in Japanese: KITSUne) on the mouth.

Kunyomi
きち	90% of the time this is only used in fortune-telling. Usually used like this: 吉　（きち）(good omen) or 不吉な兆し　（ふきちなきざし）bad omen LAZY
★★☆☆☆
Jukugo
不吉ふきつ な	
inauspicious, dark, ill-omened ★☆☆☆☆
不 (un) + 吉 (good omen) = 不吉 (inauspicious, dark, ill-omened)

Lookalikes
Meaning	Hint	Radical
吉	good omen	SAMURAI	士
告	inform	THROW	
克	overcome	LEGS	
Seeing a SAMURAI is a good omen,
but you THROW information to your friends - 'Hey I just saw a damn samurai!'

Steve Austin overcame the loss of his LEGS and went on to fight crime as the six million dollar man.

Used In
詰 結
Synonyms
portent, omen
吉    縁起の悪い    吉兆   "
